pos_product,ingredient_item_code,ingredient_name,grams_per_cup,store_yield_grams,sku_conversion,uom
PRESIDENTIAL,RM006-C,GOLDEN VALLEY WHOLE CORN,17.0,0,0.017,
PRESIDENTIAL,RM007,NATA DE COCO MILIN,23.0,0,0.012,
PRESIDENTIAL,RM017,MACAPUNO,13.0,0,0.013,
PRESIDENTIAL,RM018,UBE HALAYA,13.0,0,0.014,
Red Sago,FG009,SAGO,20.0,0,0.02,
Rice Crispies,FG003,RICE CRISPIES,2.0,0,0.002,
SO CORNY,FG001,LECHE FLAN,50.0,0,1.0,
SO CORNY,FG001-A,LECHE FLAN x 12,50.0,0,1.0,
SO CORNY,FG001-B,LECHE FLAN x 16,50.0,0,1.0,
SO CORNY,FG003,RICE CRISPIES,2.0,0,0.002,
SO CORNY,FG013,LANGKA,30.0,0,0.031,
SO CORNY,FG020,FROZEN ICE MILK,310.0,0,0.124,
SO CORNY,PM001,16OZ CUP WITH LOGO,1.0,0,1.0,
SO CORNY,PM002,DOME LID 90MM,1.0,0,1.0,
SO CORNY,PM003,LONG SPOON GREEN W/ POUCH,1.0,0,1.0,
SO CORNY,PM007,PLASTIC 8x11 CALYPSO,1.0,0,1.0,
SO CORNY,RM006-B,SUNBEST WHOLE KETTLE CORN,50.0,0,0.05,
SO CORNY,RM006-C,GOLDEN VALLEY WHOLE CORN,50.0,0,0.05,
SO CORNY,RM008-A,GOLDEN VALLEY CREAM CORN,20.0,0,0.047,
SPECIAL,FG001,LECHE FLAN,50.0,0,1.0,
SPECIAL,FG001-A,LECHE FLAN x 12,50.0,0,1.0,
SPECIAL,FG001-B,LECHE FLAN x 16,50.0,0,1.0,
SPECIAL,FG002,BANANA CINNAMON,30.0,0,0.031,
SPECIAL,FG003,RICE CRISPIES,2.0,0,0.002,
SPECIAL,FG004,BUKO PANDAN JELLY,30.0,0,0.035,
SPECIAL,FG009,SAGO,20.0,0,0.019,
SPECIAL,FG020,FROZEN ICE MILK,310.0,0,0.124,
SPECIAL,PM001,16OZ CUP WITH LOGO,1.0,0,1.0,
SPECIAL,PM002,DOME LID 90MM,1.0,0,1.0,
SPECIAL,PM003,LONG SPOON GREEN W/ POUCH,1.0,0,1.0,
SPECIAL,PM007,PLASTIC 8x11 CALYPSO,1.0,0,1.0,
SPECIAL,RM006-B,SUNBEST WHOLE KETTLE CORN,17.0,0,0.017,
SPECIAL,RM006-C,GOLDEN VALLEY WHOLE CORN,17.0,0,0.017,
SPECIAL,RM007,NATA DE COCO MILIN,23.0,0,0.012,
SPECIAL,RM018,UBE HALAYA,24.0,0,0.025,
STRAWBERRY PISTACHIO,FG001,LECHE FLAN,50.0,0,1.0,
STRAWBERRY PISTACHIO,FG001-A,LECHE FLAN x 12,50.0,0,1.0,
STRAWBERRY PISTACHIO,FG001-B,LECHE FLAN x 16,50.0,0,1.0,
STRAWBERRY PISTACHIO,FG005,VANILLA WHITE JELLY,35.0,0,0.04,
STRAWBERRY PISTACHIO,FG014,PISTACHIO / CASHEW MIX,3.5,0,0.003,
STRAWBERRY PISTACHIO,FG020,FROZEN ICE MILK,310.0,0,0.124,
STRAWBERRY PISTACHIO,PM001,16OZ CUP WITH LOGO,1.0,0,1.0,
STRAWBERRY PISTACHIO,PM002,DOME LID 90MM,1.0,0,1.0,
STRAWBERRY PISTACHIO,PM003,LONG SPOON GREEN W/ POUCH,1.0,0,1.0,
STRAWBERRY PISTACHIO,PM007,PLASTIC 8x11 CALYPSO,1.0,0,1.0,
STRAWBERRY PISTACHIO,RM005,STRAWBERRY COMSTOCK,20.0,0,0.034,
STRAWBERRY PISTACHIO,RM016,STRAWBERRY SYRUP,33.0,0,0.033,
Strawberry Fruit,RM005,STRAWBERRY COMSTOCK,20.0,0,0.034,
Tapioca,FG010,TAPIOCA,35.0,0,0.035,
Ube Halaya,RM018,UBE HALAYA,13.0,0,0.013,
