fg_name,fg_name_norm,component_item_code,component_item_name_bom,qty_per_fg
MANGO CLASSIC,MANGO CLASSIC,PM003,LONG SPOON GREEN W/ POUCH,1.0
MANGO CLASSIC,MANGO CLASSIC,PM007,PLASTIC 8x11 CALYPSO,1.0
SO CORNY,SO CORNY,FG001,LECHE FLAN,1.0
SO CORNY,SO CORNY,FG001-A,LECHE FLAN x 12,1.0
SO CORNY,SO CORNY,FG001-B,LECHE FLAN x 16,1.0
SO CORNY,SO CORNY,RM006-C,GOLDEN VALLEY WHOLE CORN,0.05
SO CORNY,SO CORNY,RM006-B,SUNBEST WHOLE KETTLE CORN,0.05
SO CORNY,SO CORNY,FG020,FROZEN ICE MILK,0.124
SO CORNY,SO CORNY,FG013,LANGKA,0.031
SO CORNY,SO CORNY,FG003,RICE CRISPIES,0.002
SO CORNY,SO CORNY,RM008-A,GOLDEN VALLEY CREAM CORN,0.047
SO CORNY,SO CORNY,PM001,16OZ CUP WITH LOGO,1.0
SO CORNY,SO CORNY,PM002,DOME LID 90MM,1.0
SO CORNY,SO CORNY,PM003,LONG SPOON GREEN W/ POUCH,1.0
SO CORNY,SO CORNY,PM007,PLASTIC 8x11 CALYPSO,1.0
Leche Flan,LECHE FLAN,FG001,LECHE FLAN,1.0
Leche Flan,LECHE FLAN,FG001-A,LECHE FLAN x 12,1.0
Leche Flan,LECHE FLAN,FG001-B,LECHE FLAN x 16,1.0
Rice Crispies,RICE CRISPIES,FG003,RICE CRISPIES,0.002
Langka,LANGKA,FG013,LANGKA,0.013
Ube Halaya,UBE HALAYA,RM018,UBE HALAYA,0.013
Banana Cinnamon-1,BANANA CINNAMON 1,FG002,BANANA CINNAMON,0.009
Nata,NATA,RM007,NATA DE COCO MILIN,0.012
Macapuno,MACAPUNO,RM017,MACAPUNO,0.013
Crushed Oreo,CRUSHED OREO,RM002,CRUSHED OREO,0.066
Tapioca,TAPIOCA,FG010,TAPIOCA,0.035
Red Sago,RED SAGO,FG009,SAGO,0.02
Mango,MANGO,RM010,FRESH RIPE MANGO,0.061
Mais,MAIS,RM006-C,GOLDEN VALLEY WHOLE CORN,0.017
Mais,MAIS,RM006-B,SUNBEST WHOLE KETTLE CORN,0.017
Strawberry Fruit,STRAWBERRY FRUIT,RM005,STRAWBERRY COMSTOCK,0.034
Blueberry Fruit,BLUEBERRY FRUIT,RM004-1,BLUEBERRY COMSTOCK LAFRUTA,0.034
Choco Brownie-1,CHOCO BROWNIE 1,RM020,FROZEN BROWNIES,0.088
HANTIEN,HANTIEN,M003,HANTIEN,0.016
MINI MARSHMALLOW,MINI MARSHMALLOW,M006,MINI MARSHMALLOW,0.018
16OZ CUP WITH LOGO,16OZ CUP WITH LOGO,PM001,16OZ CUP WITH LOGO,1.0
