location_id,business_date,bill_number,dupe_count,kept_id,all_ids
2287,2026-04-05,64892,2,49667729,49667729|49671465
2287,2026-04-05,64893,2,49667899,49667899|49685241
2287,2026-04-05,64894,2,49667934,49667934|49670950
2287,2026-04-05,64897,2,49668301,49668301|49670356
2287,2026-04-05,64902,2,49668554,49668554|49672757
2287,2026-04-05,64904,2,49668869,49668869|49679707
2287,2026-04-05,64905,2,49669034,49669034|49678050
2287,2026-04-05,64912,2,49671010,49671010|49679874
2287,2026-04-05,64915,2,49672403,49672403|49677732
2287,2026-04-05,64919,2,49673232,49673232|49677768
2287,2026-04-05,64921,2,49673660,49673660|49675122
2287,2026-04-05,64925,2,49674029,49674029|49677921
2287,2026-04-05,64928,2,49674501,49674501|49678264
2287,2026-04-05,64930,2,49674664,49674664|49680540
2287,2026-04-05,64931,2,49674809,49674809|49678302
2287,2026-04-05,64934,2,49675105,49675105|49677761
2287,2026-04-05,64937,2,49675681,49675681|49706229
2287,2026-04-05,64939,2,49676139,49676139|49680591
2287,2026-04-05,64946,2,49677858,49677858|49680894
2250,2026-04-05,74349,2,49705784,49705784|49705785
2250,2026-04-05,74284,2,49692635,49692635|49704350
2250,2026-04-05,74182,2,49671902,49671902|49705760
2250,2026-04-05,74167,2,49669630,49669630|49706805
2311,2026-04-05,35283,2,49665018,49665018|49665054
2319,2026-04-05,26176,2,49682347,49682347|49690393
2338,2026-04-05,55942,2,49656392,49656392|49661591
2338,2026-04-05,55943,2,49656538,49656538|49661965
2338,2026-04-05,55988,2,49654422,49654422|49662467
2338,2026-04-05,56175,2,49702329,49702329|49702330
2338,2026-04-05,56186,2,49703172,49703172|49703283
2177,2026-04-05,37461,2,49672253,49672253|49672804
2222,2026-04-05,56846,2,49661043,49661043|49662945
2222,2026-04-05,56763,2,49635823,49635823|49636661
2222,2026-04-05,56761,2,49634790,49634790|49635588
2341,2026-04-05,25646,2,49654543,49654543|49672353
2220,2026-04-05,47335,2,49683368,49683368|49706652
2408,2026-04-05,27119,2,49641962,49641962|49650176
2408,2026-04-05,27146,2,49645311,49645311|49646007
2426,2026-04-05,18048,2,49635045,49635045|49637193
2426,2026-04-05,18049,2,49635848,49635848|49638405
2464,2026-04-05,26244,2,49651135,49651135|49651136
2526,2026-04-05,13774,2,49648538,49648538|49648571
2547,2026-04-05,30128,2,49643570,49643570|49643733
2548,2026-04-05,28196,2,49645923,49645923|49645980
2557,2026-04-05,19818,2,49697535,49697535|49698644
2216,2026-04-05,44724,2,49660429,49660429|49663117
2558,2026-04-05,15532,2,49674041,49674041|49674253
2558,2026-04-05,15560,2,49683251,49683251|49686236
2558,2026-04-05,15576,2,49686760,49686760|49692706
2766,2026-04-05,7762,2,49641973,49641973|49649915
2812,2026-04-05,17068,2,49651134,49651134|49651351
2812,2026-04-05,17129,2,49662612,49662612|49702403
2932,2026-04-05,4189,2,49654758,49654758|49654759
2932,2026-04-05,4207,2,49663110,49663110|49663143
2932,2026-04-05,4244,2,49677645,49677645|49677646
2339,2026-04-04,28857,2,49613033,49613033|49613120
2547,2026-04-04,30107,2,49615887,49615887|49615890
2515,2026-04-04,27147,2,49583503,49583503|49583780
2338,2026-04-04,55804,2,49618608,49618608|49619009
2932,2026-04-04,4101,2,49604443,49604443|49604446
2932,2026-04-04,3997,2,49564980,49564980|49564981
2338,2026-04-04,55674,2,49590614,49590614|49594175
2338,2026-04-04,55668,2,49590175,49590175|49594208
2338,2026-04-04,55646,2,49587565,49587565|49592019
2338,2026-04-04,55645,2,49587495,49587495|49589310
2340,2026-04-04,33525,2,49567589,49567589|49575693
2340,2026-04-04,33726,2,49608113,49608113|49613671
2932,2026-04-04,3987,2,49567630,49567630|49567631
2338,2026-04-04,55637,2,49586635,49586635|49589930
2428,2026-04-04,20755,2,49562988,49562988|49567555
2408,2026-04-04,27066,2,49607190,49607190|49607353
2408,2026-04-04,26963,2,49584630,49584630|49584847
2430,2026-04-04,17427,2,49571379,49571379|49572443
2222,2026-04-04,56635,2,49575476,49575476|49577211
2222,2026-04-04,56660,2,49581413,49581413|49609093
2184,2026-04-04,55216,2,49564841,49564841|49571651
