company_name,abbr,store_ownership_type,parent_company,first_provision_done,field_name,current_value,target_doctype,ref_exists,action_recommended
SM PULILAN - BEBANG SMM INC.,SMPUL,Managed Franchise,BEBANG ENTERPRISE INC.,1,default_income_account,Sales - SMPUL,Account,True,no_action
SM PULILAN - BEBANG SMM INC.,SMPUL,Managed Franchise,BEBANG ENTERPRISE INC.,1,round_off_account,Round Off - SMPUL,Account,True,no_action
SM PULILAN - BEBANG SMM INC.,SMPUL,Managed Franchise,BEBANG ENTERPRISE INC.,1,round_off_cost_center,,Cost Center,,no_action
SM PULILAN - BEBANG SMM INC.,SMPUL,Managed Franchise,BEBANG ENTERPRISE INC.,1,default_cash_account,Cash - SMPUL,Account,True,no_action
SM PULILAN - BEBANG SMM INC.,SMPUL,Managed Franchise,BEBANG ENTERPRISE INC.,1,exchange_gain_loss_account,,Account,,no_action
SM PULILAN - BEBANG SMM INC.,SMPUL,Managed Franchise,BEBANG ENTERPRISE INC.,1,accumulated_depreciation_account,,Account,,no_action
SM PULILAN - BEBANG SMM INC.,SMPUL,Managed Franchise,BEBANG ENTERPRISE INC.,1,depreciation_expense_account,,Account,,no_action
SM PULILAN - BEBANG SMM INC.,SMPUL,Managed Franchise,BEBANG ENTERPRISE INC.,1,expenses_included_in_asset_valuation,,Account,,no_action
SM PULILAN - BEBANG SMM INC.,SMPUL,Managed Franchise,BEBANG ENTERPRISE INC.,1,disposal_account,,Account,,no_action
SM PULILAN - BEBANG SMM INC.,SMPUL,Managed Franchise,BEBANG ENTERPRISE INC.,1,depreciation_cost_center,,Cost Center,,no_action
SM PULILAN - BEBANG SMM INC.,SMPUL,Managed Franchise,BEBANG ENTERPRISE INC.,1,capital_work_in_progress_account,,Account,,no_action
SM PULILAN - BEBANG SMM INC.,SMPUL,Managed Franchise,BEBANG ENTERPRISE INC.,1,asset_received_but_not_billed,,Account,,no_action
SM PULILAN - BEBANG SMM INC.,SMPUL,Managed Franchise,BEBANG ENTERPRISE INC.,1,stock_adjustment_account,,Account,,no_action
SM PULILAN - BEBANG SMM INC.,SMPUL,Managed Franchise,BEBANG ENTERPRISE INC.,1,stock_received_but_not_billed,,Account,,no_action
SM PULILAN - BEBANG SMM INC.,SMPUL,Managed Franchise,BEBANG ENTERPRISE INC.,1,expenses_included_in_valuation,,Account,,no_action
SM SAN JOSE DEL MONTE - JL TRADE OPC,SJDM,Company Owned,,1,default_inventory_account,,Account,,no_action
SM SAN JOSE DEL MONTE - JL TRADE OPC,SJDM,Company Owned,,1,default_payable_account,Creditors - SJDM,Account,True,no_action
SM SAN JOSE DEL MONTE - JL TRADE OPC,SJDM,Company Owned,,1,default_receivable_account,Debtors - SJDM,Account,True,no_action
SM SAN JOSE DEL MONTE - JL TRADE OPC,SJDM,Company Owned,,1,default_payroll_payable_account,,Account,,no_action
SM SAN JOSE DEL MONTE - JL TRADE OPC,SJDM,Company Owned,,1,default_employee_advance_account,,Account,,no_action
SM SAN JOSE DEL MONTE - JL TRADE OPC,SJDM,Company Owned,,1,default_expense_account,Cost of Goods Sold - SJDM,Account,True,no_action
SM SAN JOSE DEL MONTE - JL TRADE OPC,SJDM,Company Owned,,1,default_income_account,Sales - SJDM,Account,True,no_action
SM SAN JOSE DEL MONTE - JL TRADE OPC,SJDM,Company Owned,,1,round_off_account,Round Off - SJDM,Account,True,no_action
